mx_center 	 my_center 	 mz_center 	 Acc_X 	 Acc_Y 	 Acc_Z 	 Gcc_X 	 Gcc_Y 	 Gcc_Z 	 Mcc_X 	 Mcc_Y 	 Mcc_Z 	 heading 	 tiltheading 	 temper 	 pres 	 atm 	 alt
0.00 	0.00 	0.00 	0.25 	0.20 	1.09 	-0.01 	-0.16 	1.14 	12.60 	3.22 	-2.93 	14.35 	13.38 	24.45 	101568.00 	1.00 	-20.21 	
0.00 	0.00 	0.00 	0.72 	0.41 	0.59 	84.39 	-63.43 	-20.73 	12.89 	2.34 	1.46 	10.30 	332.35 	24.73 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	-1.03 	0.18 	0.08 	-28.98 	16.06 	-91.69 	19.92 	-1.76 	1.46 	354.96 	 NAN 	24.72 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	-1.03 	0.08 	1.10 	9.48 	-68.95 	155.42 	18.16 	-7.03 	-3.22 	338.84 	 NAN 	24.75 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.01 	0.01 	1.12 	-5.22 	-11.18 	-3.40 	18.16 	-7.62 	-3.81 	337.25 	337.43 	24.69 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.04 	0.03 	1.13 	0.27 	-0.14 	-2.56 	18.46 	-6.74 	-4.10 	339.94 	340.36 	24.57 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	-0.07 	0.04 	0.99 	0.24 	34.53 	56.05 	18.16 	-7.62 	-3.52 	337.25 	337.48 	24.40 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.02 	1.14 	1.21 	-4.04 	5.58 	18.46 	-3.81 	-4.39 	348.34 	348.64 	24.29 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.15 	17.12 	0.39 	-7.21 	16.70 	-0.29 	-4.10 	358.99 	359.56 	24.18 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.12 	-2.04 	-0.35 	0.14 	17.87 	-0.59 	-4.10 	358.12 	358.70 	24.10 	101567.00 	1.00 	-20.13 	
