mx_center 	 my_center 	 mz_center 	 Acc_X 	 Acc_Y 	 Acc_Z 	 Gcc_X 	 Gcc_Y 	 Gcc_Z 	 Mcc_X 	 Mcc_Y 	 Mcc_Z 	 heading 	 tiltheading 	 temper 	 pres 	 atm 	 alt
0.00 	0.00 	0.00 	0.03 	0.05 	1.12 	-0.21 	-0.36 	0.72 	20.80 	-0.88 	-3.22 	357.58 	357.92 	22.98 	1280.00 	0.01 	25033.78 	
0.00 	0.00 	0.00 	0.02 	0.03 	1.13 	0.02 	0.12 	0.89 	20.51 	-0.88 	-2.64 	357.55 	357.77 	22.99 	1273.00 	0.01 	25053.90 	
0.00 	0.00 	0.00 	0.05 	0.03 	1.14 	1.07 	0.02 	0.60 	20.80 	-1.17 	-3.22 	356.78 	357.01 	22.97 	1266.00 	0.01 	25074.11 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.14 	0.24 	0.08 	0.53 	21.09 	-1.46 	-3.22 	356.03 	356.39 	22.97 	1263.00 	0.01 	25082.80 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.13 	0.63 	0.18 	0.50 	20.80 	-1.17 	-2.93 	356.78 	357.04 	22.97 	1253.00 	0.01 	25111.89 	
0.00 	0.00 	0.00 	0.04 	0.06 	1.14 	0.86 	0.11 	0.56 	20.51 	-1.17 	-3.52 	356.73 	357.22 	22.98 	1247.00 	0.01 	25129.44 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.12 	-0.37 	0.05 	0.96 	20.21 	-0.88 	-2.64 	357.51 	357.89 	22.96 	1243.00 	0.01 	25141.17 	
0.00 	0.00 	0.00 	0.01 	0.03 	1.14 	0.00 	-0.24 	0.98 	20.21 	-0.88 	-3.52 	357.51 	357.81 	22.96 	1238.00 	0.01 	25155.88 	
0.00 	0.00 	0.00 	0.02 	0.03 	1.14 	0.69 	-0.07 	0.78 	20.51 	-1.17 	-3.22 	356.73 	356.97 	22.97 	1231.00 	0.01 	25176.56 	
0.00 	0.00 	0.00 	0.02 	0.03 	1.14 	0.97 	0.05 	0.91 	20.21 	-0.88 	-3.81 	357.51 	357.79 	22.97 	1229.00 	0.01 	25182.48 	
0.00 	0.00 	0.00 	0.06 	0.05 	1.13 	0.18 	-0.27 	0.61 	20.51 	-0.88 	-2.64 	357.55 	357.78 	22.96 	1225.00 	0.01 	25194.36 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.14 	0.39 	0.02 	0.49 	20.51 	-1.46 	-3.22 	355.91 	356.31 	22.96 	1218.00 	0.01 	25215.21 	
0.00 	0.00 	0.00 	0.03 	0.03 	1.13 	0.69 	0.21 	0.78 	20.21 	-0.88 	-3.22 	357.51 	357.76 	22.95 	1213.00 	0.01 	25230.16 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.14 	0.53 	-0.01 	0.56 	20.51 	-0.88 	-2.93 	357.55 	357.92 	22.95 	1212.00 	0.01 	25233.16 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.13 	-0.10 	0.14 	0.56 	20.51 	-1.46 	-3.22 	355.91 	356.29 	22.95 	1205.00 	0.01 	25254.20 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	0.03 	-0.26 	0.55 	20.51 	-0.29 	-2.64 	359.18 	359.38 	22.95 	1199.00 	0.01 	25272.30 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.12 	-0.18 	-0.11 	0.69 	20.51 	-0.59 	-3.22 	358.36 	358.68 	22.95 	1198.00 	0.01 	25275.33 	
0.00 	0.00 	0.00 	0.01 	0.02 	1.13 	0.56 	-0.05 	0.63 	20.51 	-1.46 	-2.93 	355.91 	356.09 	22.94 	1190.00 	0.01 	25299.60 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.12 	0.75 	0.00 	0.92 	20.51 	-1.46 	-3.22 	355.91 	356.22 	22.94 	1189.00 	0.01 	25302.65 	
0.00 	0.00 	0.00 	0.07 	0.06 	1.14 	-0.20 	-0.04 	0.83 	20.51 	-0.88 	-3.22 	357.55 	357.87 	22.93 	1180.00 	0.01 	25330.14 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	0.35 	-0.34 	0.88 	19.92 	-1.17 	-3.22 	356.63 	356.93 	22.93 	1176.00 	0.01 	25342.41 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.12 	0.91 	0.12 	1.63 	20.21 	-0.88 	-3.22 	357.51 	357.91 	22.92 	1168.00 	0.01 	25367.05 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.14 	0.37 	0.11 	0.53 	20.51 	-0.88 	-3.22 	357.55 	357.85 	22.93 	1166.00 	0.01 	25373.24 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.14 	-0.26 	0.08 	0.63 	21.09 	-0.59 	-2.64 	358.41 	358.63 	22.92 	1164.00 	0.01 	25379.43 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.12 	-0.05 	-0.03 	0.92 	20.51 	-0.59 	-3.52 	358.36 	358.72 	22.92 	1156.00 	0.01 	25404.28 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	-0.08 	-0.27 	0.34 	19.63 	-1.17 	-3.52 	356.58 	357.03 	22.91 	1151.00 	0.01 	25419.88 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.16 	1.14 	0.06 	0.69 	20.80 	-0.88 	-3.22 	357.58 	357.99 	22.92 	1148.00 	0.01 	25429.27 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	-1.11 	-0.19 	0.81 	19.92 	-1.46 	-3.52 	355.79 	356.21 	22.91 	1146.00 	0.01 	25435.54 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.14 	0.89 	0.11 	0.96 	20.80 	-0.88 	-3.22 	357.58 	357.92 	22.91 	1142.00 	0.01 	25448.11 	
0.00 	0.00 	0.00 	0.01 	0.06 	1.14 	0.42 	-0.05 	0.60 	20.51 	-0.59 	-2.93 	358.36 	358.81 	22.89 	1136.00 	0.01 	25467.02 	
0.00 	0.00 	0.00 	0.06 	0.06 	1.14 	0.88 	0.10 	0.49 	20.21 	-0.88 	-3.52 	357.51 	357.93 	22.90 	1133.00 	0.01 	25476.51 	
0.00 	0.00 	0.00 	0.06 	0.05 	1.13 	-0.04 	-0.31 	0.92 	20.51 	-0.88 	-3.22 	357.55 	357.81 	22.90 	1132.00 	0.01 	25479.68 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.12 	-0.29 	-0.22 	0.78 	20.80 	-0.88 	-3.52 	357.58 	358.01 	22.89 	1127.00 	0.01 	25495.55 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.15 	0.60 	-0.07 	0.48 	20.21 	-0.88 	-2.93 	357.51 	357.89 	22.89 	1127.00 	0.01 	25495.55 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.13 	-0.27 	-0.05 	1.05 	20.51 	-1.46 	-3.22 	355.91 	356.23 	22.89 	1121.00 	0.01 	25514.67 	
0.00 	0.00 	0.00 	0.06 	0.04 	1.14 	-0.05 	0.05 	0.92 	20.51 	-1.17 	-2.64 	356.73 	356.92 	22.88 	1118.00 	0.01 	25524.26 	
0.00 	0.00 	0.00 	0.06 	0.06 	1.15 	0.12 	-0.13 	0.63 	20.21 	-1.76 	-3.22 	355.03 	355.42 	22.88 	1114.00 	0.01 	25537.08 	
0.00 	0.00 	0.00 	0.05 	0.07 	1.11 	-0.79 	-0.14 	0.42 	20.80 	-0.59 	-2.64 	358.39 	358.70 	22.89 	1114.00 	0.01 	25537.08 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.11 	0.62 	0.28 	0.71 	20.21 	-1.46 	-3.52 	355.86 	356.22 	22.87 	1110.00 	0.01 	25549.94 	
0.00 	0.00 	0.00 	0.01 	0.03 	1.12 	-0.95 	-0.05 	0.72 	20.51 	-1.76 	-3.22 	355.10 	355.38 	22.88 	1104.00 	0.01 	25569.29 	
0.00 	0.00 	0.00 	0.05 	0.04 	1.12 	0.89 	0.02 	0.68 	20.51 	-1.17 	-2.93 	356.73 	356.99 	22.87 	1103.00 	0.01 	25572.53 	
0.00 	0.00 	0.00 	0.03 	0.03 	1.14 	0.46 	0.02 	0.47 	20.21 	-0.88 	-2.93 	357.51 	357.75 	22.87 	1101.00 	0.01 	25579.01 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.15 	0.53 	0.18 	0.47 	20.80 	-0.88 	-2.64 	357.58 	357.82 	22.87 	1097.00 	0.01 	25591.99 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.15 	0.27 	0.15 	0.85 	19.92 	-1.17 	-3.22 	356.63 	357.00 	22.86 	1095.00 	0.01 	25598.49 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.12 	-0.38 	0.06 	0.97 	20.51 	-0.59 	-2.93 	358.36 	358.71 	22.86 	1093.00 	0.01 	25605.01 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.13 	-0.31 	-0.08 	0.90 	20.80 	-1.17 	-3.22 	356.78 	357.16 	22.86 	1088.00 	0.01 	25621.33 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.13 	0.28 	-0.12 	0.72 	20.21 	-1.17 	-3.81 	356.68 	357.10 	22.86 	1084.00 	0.01 	25634.44 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.15 	0.61 	0.11 	0.64 	19.92 	-1.17 	-2.93 	356.63 	356.92 	22.86 	1083.00 	0.01 	25637.72 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.16 	0.77 	-0.05 	0.57 	20.21 	-0.88 	-3.22 	357.51 	357.85 	22.85 	1081.00 	0.01 	25644.30 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.16 	1.06 	-0.09 	0.78 	20.21 	-0.88 	-2.93 	357.51 	357.77 	22.85 	1074.00 	0.01 	25667.38 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.15 	0.50 	0.14 	0.92 	20.21 	-0.88 	-3.22 	357.51 	357.83 	22.84 	1074.00 	0.01 	25667.38 	
0.00 	0.00 	0.00 	0.00 	0.05 	1.12 	0.72 	-0.02 	0.79 	20.80 	-0.59 	-3.22 	358.39 	358.82 	22.84 	1071.00 	0.01 	25677.31 	
0.00 	0.00 	0.00 	0.06 	0.05 	1.14 	0.33 	0.07 	0.59 	20.80 	-0.88 	-2.93 	357.58 	357.84 	22.84 	1070.00 	0.01 	25680.63 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.14 	0.63 	0.10 	0.37 	20.80 	-1.46 	-3.22 	355.97 	356.33 	22.84 	1065.00 	0.01 	25697.24 	
0.00 	0.00 	0.00 	0.05 	0.04 	1.15 	1.19 	-0.02 	0.85 	20.80 	-0.88 	-3.22 	357.58 	357.85 	22.84 	1065.00 	0.01 	25697.24 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.15 	0.71 	0.02 	0.72 	20.51 	-0.59 	-3.22 	358.36 	358.71 	22.83 	1063.00 	0.01 	25703.90 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.13 	-0.48 	-0.18 	0.72 	20.21 	-1.46 	-2.64 	355.86 	356.09 	22.82 	1059.00 	0.01 	25717.26 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.12 	0.98 	-0.02 	0.66 	20.51 	-1.46 	-3.22 	355.91 	356.27 	22.83 	1058.00 	0.01 	25720.60 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.14 	-0.14 	0.11 	0.88 	20.21 	-1.17 	-3.81 	356.68 	357.16 	22.83 	1056.00 	0.01 	25727.30 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.13 	0.36 	-0.04 	0.49 	20.21 	-1.76 	-3.52 	355.03 	355.52 	22.83 	1054.00 	0.01 	25734.01 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.13 	0.54 	0.02 	0.70 	20.21 	-0.88 	-2.93 	357.51 	357.77 	22.83 	1050.00 	0.01 	25747.46 	
0.00 	0.00 	0.00 	0.04 	0.07 	1.15 	0.55 	0.19 	0.69 	20.21 	-0.88 	-3.22 	357.51 	358.00 	22.82 	1049.00 	0.01 	25750.83 	
0.00 	0.00 	0.00 	0.01 	0.03 	1.14 	0.04 	-0.10 	0.94 	20.51 	-0.88 	-2.93 	357.55 	357.75 	22.82 	1046.00 	0.01 	25760.95 	
0.00 	0.00 	0.00 	0.01 	0.05 	1.12 	-0.01 	-0.18 	0.62 	20.51 	-0.88 	-2.93 	357.55 	357.95 	22.82 	1046.00 	0.01 	25760.95 	
0.00 	0.00 	0.00 	0.04 	0.03 	1.13 	0.24 	0.05 	0.24 	20.51 	-1.17 	-3.22 	356.73 	356.96 	22.81 	1042.00 	0.01 	25774.48 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.14 	0.41 	0.13 	0.58 	20.51 	-0.88 	-3.22 	357.55 	357.86 	22.81 	1040.00 	0.01 	25781.26 	
0.00 	0.00 	0.00 	0.07 	0.06 	1.14 	-0.90 	-0.04 	0.56 	19.92 	-1.17 	-3.22 	356.63 	356.96 	22.82 	1037.00 	0.01 	25791.46 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.14 	0.48 	-0.01 	0.72 	20.80 	-0.88 	-2.93 	357.58 	357.89 	22.80 	1035.00 	0.01 	25798.26 	
0.00 	0.00 	0.00 	0.01 	0.04 	1.13 	-0.38 	0.05 	0.77 	20.80 	-0.59 	-2.93 	358.39 	358.72 	22.81 	1035.00 	0.01 	25798.26 	
0.00 	0.00 	0.00 	0.06 	0.04 	1.13 	0.77 	-0.24 	0.55 	20.51 	-0.88 	-3.81 	357.55 	357.85 	22.81 	1031.00 	0.01 	25811.91 	
0.00 	0.00 	0.00 	0.04 	0.07 	1.15 	0.50 	-0.27 	0.51 	20.80 	-0.88 	-3.52 	357.58 	358.08 	22.81 	1029.00 	0.01 	25818.75 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.13 	0.21 	-0.03 	0.79 	21.09 	-0.88 	-2.93 	357.61 	357.91 	22.80 	1029.00 	0.01 	25818.75 	
0.00 	0.00 	0.00 	0.01 	0.04 	1.12 	-0.21 	0.02 	0.64 	20.80 	-0.88 	-3.52 	357.58 	357.95 	22.80 	1028.00 	0.01 	25822.18 	
0.00 	0.00 	0.00 	0.02 	0.03 	1.12 	0.16 	-0.18 	0.58 	20.51 	-0.88 	-3.52 	357.55 	357.84 	22.79 	1026.00 	0.01 	25829.04 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.13 	1.43 	0.01 	0.31 	20.80 	-1.17 	-2.64 	356.78 	357.05 	22.79 	1024.00 	0.01 	25835.90 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.14 	-0.02 	-0.08 	0.43 	20.51 	-0.59 	-2.64 	358.36 	358.62 	22.78 	1022.00 	0.01 	25842.78 	
0.00 	0.00 	0.00 	0.01 	0.05 	1.13 	-0.79 	-0.24 	0.80 	21.09 	-0.88 	-3.22 	357.61 	357.98 	22.79 	1018.00 	0.01 	25856.57 	
0.00 	0.00 	0.00 	0.01 	0.05 	1.15 	1.13 	-0.21 	0.76 	20.80 	-0.88 	-3.22 	357.58 	357.97 	22.78 	1020.00 	0.01 	25849.67 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.14 	-0.40 	0.07 	0.50 	20.80 	-0.59 	-3.22 	358.39 	358.74 	22.78 	1016.00 	0.01 	25863.48 	
0.00 	0.00 	0.00 	0.06 	0.05 	1.11 	-0.32 	-0.14 	0.58 	19.92 	-0.88 	-2.93 	357.47 	357.76 	22.78 	1014.00 	0.01 	25870.40 	
0.00 	0.00 	0.00 	0.06 	0.04 	1.14 	1.07 	-0.21 	0.72 	20.51 	-1.17 	-2.93 	356.73 	356.93 	22.76 	1017.00 	0.01 	25860.02 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.14 	0.26 	-0.21 	0.73 	21.09 	-0.88 	-3.22 	357.61 	357.95 	22.76 	1013.00 	0.01 	25873.87 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.12 	-0.43 	0.08 	0.92 	20.21 	-1.17 	-2.93 	356.68 	356.96 	22.77 	1007.00 	0.01 	25894.72 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.14 	0.21 	-0.21 	0.20 	20.51 	-1.17 	-3.52 	356.73 	357.10 	22.76 	999.00 	0.01 	25922.67 	
0.00 	0.00 	0.00 	0.04 	0.06 	1.13 	0.95 	0.05 	0.28 	20.51 	-1.17 	-3.22 	356.73 	357.17 	22.76 	994.00 	0.01 	25940.24 	
0.00 	0.00 	0.00 	0.06 	0.06 	1.12 	-0.05 	0.05 	0.56 	20.80 	-0.88 	-2.93 	357.58 	357.88 	22.75 	988.00 	0.01 	25961.41 	
0.00 	0.00 	0.00 	0.01 	0.04 	1.13 	0.09 	0.06 	1.04 	20.80 	-0.59 	-3.52 	358.39 	358.74 	22.76 	983.00 	0.01 	25979.14 	
0.00 	0.00 	0.00 	0.05 	0.04 	1.14 	0.55 	-0.03 	0.69 	21.09 	-0.59 	-2.93 	358.41 	358.64 	22.74 	984.00 	0.01 	25975.58 	
0.00 	0.00 	0.00 	0.06 	0.05 	1.14 	0.80 	0.15 	0.27 	20.21 	-1.17 	-2.93 	356.68 	356.94 	22.75 	980.00 	0.01 	25989.80 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.14 	0.29 	-0.15 	0.52 	20.21 	-1.17 	-3.52 	356.68 	357.02 	22.74 	973.00 	0.01 	26014.80 	
0.00 	0.00 	0.00 	0.01 	0.05 	1.12 	0.24 	0.00 	0.88 	20.51 	-0.88 	-2.93 	357.55 	357.94 	22.73 	959.00 	0.01 	26065.24 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.12 	0.90 	-0.04 	0.61 	20.51 	-0.88 	-2.93 	357.55 	357.82 	22.73 	949.00 	0.01 	26101.63 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.13 	0.19 	-0.03 	0.50 	20.51 	-1.46 	-3.22 	355.91 	356.30 	22.73 	941.00 	0.01 	26130.97 	
0.00 	0.00 	0.00 	0.01 	0.04 	1.13 	0.79 	0.14 	1.03 	20.80 	-1.46 	-2.64 	355.97 	356.26 	22.71 	936.00 	0.01 	26149.41 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.12 	0.28 	0.05 	0.59 	20.21 	-0.59 	-3.22 	358.34 	358.73 	22.71 	932.00 	0.01 	26164.22 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.14 	0.11 	-0.11 	0.59 	20.80 	-1.17 	-2.93 	356.78 	357.11 	22.70 	927.00 	0.01 	26182.80 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.11 	-0.24 	-0.34 	0.85 	20.51 	-0.59 	-2.93 	358.36 	358.62 	22.70 	921.00 	0.01 	26205.21 	
0.00 	0.00 	0.00 	0.05 	0.04 	1.13 	0.71 	-0.02 	0.93 	20.51 	-0.59 	-2.93 	358.36 	358.59 	22.70 	913.00 	0.01 	26235.27 	
0.00 	0.00 	0.00 	0.06 	0.05 	1.13 	-0.37 	-0.21 	0.70 	19.92 	-1.46 	-3.22 	355.79 	356.12 	22.69 	901.00 	0.01 	26280.76 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.13 	-0.09 	0.50 	20.80 	-0.88 	-2.93 	357.58 	357.88 	22.68 	891.00 	0.01 	26319.05 	
0.00 	0.00 	0.00 	0.02 	0.03 	1.13 	0.92 	0.00 	0.60 	20.80 	-0.88 	-2.93 	357.58 	357.81 	22.67 	884.00 	0.01 	26346.06 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.13 	0.35 	0.03 	0.63 	20.21 	-0.88 	-2.93 	357.51 	357.89 	22.66 	881.00 	0.01 	26357.69 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.13 	0.53 	0.11 	0.76 	20.80 	-1.17 	-3.52 	356.78 	357.14 	22.66 	878.00 	0.01 	26369.35 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.15 	0.55 	-0.01 	0.76 	20.80 	-0.88 	-2.93 	357.58 	357.84 	22.64 	874.00 	0.01 	26384.95 	
0.00 	0.00 	0.00 	0.02 	0.06 	1.11 	0.37 	-0.01 	0.92 	20.51 	-1.17 	-2.05 	356.73 	357.00 	22.63 	873.00 	0.01 	26388.86 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.15 	-0.41 	-0.05 	0.37 	20.51 	-1.46 	-2.64 	355.91 	356.22 	22.62 	862.00 	0.01 	26432.09 	
0.00 	0.00 	0.00 	0.06 	0.05 	1.14 	0.39 	0.11 	0.61 	20.21 	-0.88 	-2.64 	357.51 	357.75 	22.62 	848.00 	0.01 	26487.77 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.51 	-0.16 	0.51 	21.09 	-1.46 	-2.64 	356.03 	356.30 	22.60 	844.00 	0.01 	26503.81 	
0.00 	0.00 	0.00 	0.00 	0.05 	1.13 	-0.21 	0.12 	0.89 	20.51 	-1.76 	-2.93 	355.10 	355.52 	22.60 	837.00 	0.01 	26532.04 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.13 	1.31 	0.01 	0.89 	19.92 	-0.29 	-3.22 	359.16 	359.44 	22.58 	832.00 	0.01 	26552.32 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.11 	0.82 	0.20 	0.36 	20.80 	-0.88 	-2.93 	357.58 	357.89 	22.58 	826.00 	0.01 	26576.78 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.15 	0.65 	-0.18 	0.34 	20.80 	-0.88 	-2.93 	357.58 	357.86 	22.57 	819.00 	0.01 	26605.51 	
0.00 	0.00 	0.00 	0.02 	0.06 	1.14 	-0.50 	-0.03 	0.82 	20.51 	-0.88 	-3.22 	357.55 	357.99 	22.55 	820.00 	0.01 	26601.39 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.14 	0.20 	-0.12 	0.31 	20.21 	-0.88 	-2.34 	357.51 	357.72 	22.54 	813.00 	0.01 	26630.29 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.12 	0.76 	-0.04 	0.74 	20.21 	-1.17 	-2.93 	356.68 	357.04 	22.53 	803.00 	0.01 	26671.92 	
0.00 	0.00 	0.00 	0.05 	0.06 	1.14 	-0.05 	-0.10 	0.54 	19.92 	-0.88 	-2.93 	357.47 	357.80 	22.50 	801.00 	0.01 	26680.29 	
0.00 	0.00 	0.00 	0.00 	0.03 	1.11 	0.09 	-0.08 	0.77 	20.51 	-0.88 	-3.81 	357.55 	357.87 	22.49 	798.00 	0.01 	26692.89 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.35 	0.19 	0.49 	21.09 	-1.17 	-2.93 	356.82 	357.14 	22.46 	797.00 	0.01 	26697.10 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	-0.37 	-0.11 	0.50 	21.09 	-1.46 	-2.93 	356.03 	356.30 	22.46 	792.00 	0.01 	26718.20 	
0.00 	0.00 	0.00 	0.07 	0.04 	1.14 	1.34 	-0.08 	0.62 	20.51 	-1.17 	-2.93 	356.73 	356.93 	22.44 	789.00 	0.01 	26730.92 	
0.00 	0.00 	0.00 	0.02 	0.04 	1.13 	0.36 	-0.31 	0.76 	21.39 	-1.17 	-3.22 	356.86 	357.19 	22.42 	788.00 	0.01 	26735.16 	
0.00 	0.00 	0.00 	0.01 	0.04 	1.14 	0.75 	0.15 	1.06 	21.09 	-0.59 	-2.93 	358.41 	358.70 	22.40 	783.00 	0.01 	26756.46 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.35 	-0.12 	0.27 	20.21 	-1.46 	-3.22 	355.86 	356.29 	22.38 	775.00 	0.01 	26790.76 	
0.00 	0.00 	0.00 	0.05 	0.05 	1.13 	0.82 	-0.10 	0.43 	20.51 	-1.76 	-2.64 	355.10 	355.34 	22.37 	771.00 	0.01 	26808.03 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.12 	-0.80 	-0.09 	0.61 	20.51 	-1.17 	-3.22 	356.73 	357.09 	22.35 	767.00 	0.01 	26825.36 	
0.00 	0.00 	0.00 	0.02 	0.03 	1.14 	0.45 	-0.14 	0.69 	21.09 	-1.46 	-3.52 	356.03 	356.32 	22.33 	765.00 	0.01 	26834.05 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.15 	-0.03 	-0.11 	0.68 	20.51 	-1.46 	-3.52 	355.91 	356.31 	22.31 	762.00 	0.01 	26847.13 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.13 	-1.33 	-0.28 	0.74 	20.80 	-1.46 	-2.93 	355.97 	356.31 	22.29 	759.00 	0.01 	26860.24 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	0.40 	-0.08 	0.50 	20.51 	-0.59 	-3.22 	358.36 	358.61 	22.28 	760.00 	0.01 	26855.87 	
0.00 	0.00 	0.00 	0.06 	0.04 	1.14 	0.83 	0.08 	0.34 	20.51 	-1.17 	-2.34 	356.73 	356.87 	22.25 	755.00 	0.01 	26877.80 	
0.00 	0.00 	0.00 	0.05 	0.04 	1.16 	0.43 	-0.01 	0.32 	20.51 	-1.17 	-3.52 	356.73 	357.05 	22.23 	751.00 	0.01 	26895.43 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.14 	-0.05 	-0.14 	0.73 	20.80 	-1.17 	-2.34 	356.78 	357.01 	22.21 	746.00 	0.01 	26917.57 	
0.00 	0.00 	0.00 	0.02 	0.05 	1.13 	0.13 	-0.38 	0.76 	20.21 	-1.46 	-2.64 	355.86 	356.16 	22.20 	744.00 	0.01 	26926.47 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.14 	1.24 	0.05 	0.50 	20.80 	-1.17 	-2.93 	356.78 	357.09 	22.16 	743.00 	0.01 	26930.92 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	1.17 	0.02 	0.65 	21.09 	-1.46 	-2.64 	356.03 	356.25 	22.14 	740.00 	0.01 	26944.31 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.15 	0.12 	0.09 	1.05 	20.80 	-2.05 	-3.22 	354.37 	354.81 	22.10 	741.00 	0.01 	26939.84 	
0.00 	0.00 	0.00 	0.01 	0.04 	1.14 	0.61 	-0.11 	0.83 	20.80 	-0.59 	-2.64 	358.39 	358.63 	22.08 	738.00 	0.01 	26953.26 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.14 	0.37 	0.14 	0.37 	20.80 	-1.17 	-2.64 	356.78 	357.02 	22.05 	734.00 	0.01 	26971.22 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.15 	0.34 	0.08 	0.59 	20.51 	-1.46 	-3.81 	355.91 	356.44 	22.02 	729.00 	0.01 	26993.78 	
0.00 	0.00 	0.00 	0.07 	0.06 	1.15 	0.49 	-0.21 	0.95 	20.51 	-1.76 	-2.64 	355.10 	355.33 	22.01 	726.00 	0.01 	27007.38 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.14 	1.50 	-0.42 	0.78 	20.51 	-1.17 	-2.93 	356.73 	356.99 	21.98 	724.00 	0.01 	27016.47 	
0.00 	0.00 	0.00 	-0.00 	0.05 	1.11 	0.09 	-0.25 	0.90 	20.80 	-1.76 	-2.93 	355.17 	355.61 	21.96 	724.00 	0.01 	27016.47 	
0.00 	0.00 	0.00 	0.06 	0.05 	1.11 	-0.08 	0.05 	0.48 	20.80 	-1.46 	-3.52 	355.97 	356.30 	21.93 	720.00 	0.01 	27034.71 	
0.00 	0.00 	0.00 	0.03 	0.06 	1.14 	0.06 	0.13 	0.70 	21.09 	-1.46 	-3.22 	356.03 	356.49 	21.90 	720.00 	0.01 	27034.71 	
0.00 	0.00 	0.00 	0.03 	0.04 	1.14 	1.82 	-0.12 	0.69 	20.51 	-1.46 	-3.22 	355.91 	356.19 	21.87 	717.00 	0.01 	27048.44 	
